id,name,artifact_type,category,availability,status,primary_url,description
prompt-management-and-versioning--promptlayer,PromptLayer,tool,Prompt Management and Versioning,commercial,active,https://www.promptlayer.com,"PromptLayer is a prompt-management platform with a visual registry, version history, release labels, request logging, evaluations, and collaboration workflows for deploying prompt changes independently of application code."
prompt-management-and-versioning--braintrust,Braintrust,tool,Prompt Management and Versioning,commercial,active,https://www.braintrust.dev,"Braintrust is an eval-first AI engineering platform that combines prompt authoring and versioning with datasets, experiments, scorers, environments, production traces, and API-based prompt deployment."
prompt-management-and-versioning--langfuse,Langfuse,tool,Prompt Management and Versioning,open-source,active,https://github.com/langfuse/langfuse,"Langfuse is a self-hostable AI engineering platform with prompt versioning and labels, a playground, OpenTelemetry-based tracing, datasets, evaluations, and a managed cloud option."
prompt-management-and-versioning--agenta,Agenta,tool,Prompt Management and Versioning,open-source,active,https://github.com/Agenta-AI/agenta,"Agenta is an open-source LLMOps platform for prompt variants, playground comparisons, version history, environments, human and automatic evaluation, and OpenTelemetry-native observability."
prompt-management-and-versioning--vellum,Vellum,tool,Prompt Management and Versioning,commercial,active,https://docs.vellum.ai/,"Vellum is an AI development platform with visual prompt and workflow sandboxes, version-controlled deployments, isolated environments, release tags, testing, and API or CI/CD promotion workflows."
prompt-management-and-versioning--portkey,Portkey,tool,Prompt Management and Versioning,open-core,active,https://github.com/Portkey-AI/gateway,"Portkey is an open-source AI gateway paired with hosted and enterprise features for prompt templates, collaborative versioning, model routing, caching, guardrails, logging, and tracing."
prompt-management-and-versioning--langsmith,LangSmith,tool,Prompt Management and Versioning,commercial,active,https://docs.langchain.com/langsmith/manage-prompts,"LangSmith is LangChain's framework-agnostic platform for prompt authoring, commits, tags, playground testing, datasets, evaluation, and traces, with SDK access to prompts by name or version."
prompt-management-and-versioning--latitude,Latitude,tool,Prompt Management and Versioning,open-source,active,https://github.com/latitude-dev/latitude-llm,"Latitude is an open-source prompt engineering platform with a prompt language, versions, playgrounds, API deployment, evaluations, datasets, logs, and a managed cloud service."
prompt-management-and-versioning--weights-biases-weave,Weights & Biases Weave,tool,Prompt Management and Versioning,open-core,active,https://github.com/wandb/weave,"W&B Weave is an open-source toolkit and hosted platform for versioning prompts and application objects, tracing calls, evaluating outputs, comparing experiments, and monitoring production behavior."
prompt-management-and-versioning--orq-ai,Orq.ai,tool,Prompt Management and Versioning,commercial,active,https://orq.ai,"Orq.ai is a collaborative generative-AI platform for managing prompts, model configurations, deployments, experiments, evaluations, guardrails, and application observability across development environments."
context-assembly-and-application-frameworks--langchain,LangChain,framework-or-library,Context Assembly and Application Frameworks,open-source,active,https://github.com/langchain-ai/langchain,"LangChain is a framework for composing model calls, messages, retrievers, tools, middleware, and agent components through common Python and JavaScript interfaces."
context-assembly-and-application-frameworks--langgraph,LangGraph,framework-or-library,Context Assembly and Application Frameworks,open-source,active,https://github.com/langchain-ai/langgraph,"LangGraph is a low-level orchestration framework for long-running, stateful agents, with graph control flow, checkpoints, persistence, streaming, interrupts, and human-in-the-loop execution."
